,date,subject,period,reg,behavior,receptor,duration
0,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:00:15
1,2019-04-15,Karl,Prejuego,1,Forr,[],0 days 00:00:34
2,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:00:52
3,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:00:05
4,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:00:34
5,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:00:22
6,2019-04-15,Karl,Prejuego,1,Alim,[],0 days 00:00:34
7,2019-04-15,Karl,Prejuego,1,Ras,[],0 days 00:00:04
8,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:00:44
9,2019-04-15,Karl,Prejuego,1,Hur,[],0 days 00:03:02
10,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:00:28
11,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:00:13
12,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:00:32
13,2019-04-15,Karl,Prejuego,1,Forr,[],0 days 00:00:49
14,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:00:06
15,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:00:52
16,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:00:12
17,2019-04-15,Karl,Prejuego,1,Forr,[],0 days 00:00:09
18,2019-04-15,Karl,Prejuego,1,Cam,[],0 days 00:01:08
19,2019-04-15,Karl,Prejuego,1,Sen,[],0 days 00:01:35
20,2019-04-15,Karl,Prejuego,2,Tum,[],0 days 00:01:06
21,2019-04-15,Karl,Prejuego,2,Alim,[],0 days 00:00:09
22,2019-04-15,Karl,Prejuego,2,Tum,[],0 days 00:08:45
23,2019-04-16,Karl,Prejuego,1,Tum,[],0 days 00:00:24
24,2019-04-16,Karl,Prejuego,1,Sen,[],0 days 00:01:31
25,2019-04-16,Karl,Prejuego,1,Tum,[],0 days 00:08:05
26,2019-04-16,Karl,Prejuego,2,Sen,[],0 days 00:00:47
27,2019-04-16,Karl,Prejuego,2,Alim,[],0 days 00:00:31
28,2019-04-16,Karl,Prejuego,2,Ras,[],0 days 00:00:07
29,2019-04-16,Karl,Prejuego,2,Cam,[],0 days 00:00:04
30,2019-04-16,Karl,Prejuego,2,Tre,[],0 days 00:00:02
