,date,subject,period,reg,behavior,receptor,duration,bhv_category,macro_bhv,rel_duration
0,2019-04-15,Karl,pregame,1,cam,[],15.0,moving,Individual,0.024671052631578948
1,2019-04-15,Karl,pregame,1,forr,[],34.0,feeding,Individual,0.05592105263157895
2,2019-04-15,Karl,pregame,1,sen,[],52.0,resting,Individual,0.08552631578947369
3,2019-04-15,Karl,pregame,1,cam,[],5.0,moving,Individual,0.008223684210526315
4,2019-04-15,Karl,pregame,1,sen,[],34.0,resting,Individual,0.05592105263157895
5,2019-04-15,Karl,pregame,1,cam,[],22.0,moving,Individual,0.03618421052631579
6,2019-04-15,Karl,pregame,1,alim,[],34.0,feeding,Individual,0.05592105263157895
7,2019-04-15,Karl,pregame,1,ras,[],4.0,grooming,Individual,0.006578947368421052
8,2019-04-15,Karl,pregame,1,sen,[],44.0,resting,Individual,0.07236842105263158
10,2019-04-15,Karl,pregame,1,sen,[],28.0,resting,Individual,0.046052631578947366
11,2019-04-15,Karl,pregame,1,cam,[],13.0,moving,Individual,0.02138157894736842
12,2019-04-15,Karl,pregame,1,sen,[],32.0,resting,Individual,0.05263157894736842
13,2019-04-15,Karl,pregame,1,forr,[],49.0,feeding,Individual,0.0805921052631579
14,2019-04-15,Karl,pregame,1,cam,[],6.0,moving,Individual,0.009868421052631578
15,2019-04-15,Karl,pregame,1,sen,[],52.0,resting,Individual,0.08552631578947369
16,2019-04-15,Karl,pregame,1,cam,[],12.0,moving,Individual,0.019736842105263157
17,2019-04-15,Karl,pregame,1,forr,[],9.0,feeding,Individual,0.014802631578947368
18,2019-04-15,Karl,pregame,1,cam,[],68.0,moving,Individual,0.1118421052631579
19,2019-04-15,Karl,pregame,1,sen,[],95.0,resting,Individual,0.15625
20,2019-04-15,Karl,pregame,2,tum,[],66.0,resting,Individual,0.11
21,2019-04-15,Karl,pregame,2,alim,[],9.0,feeding,Individual,0.015
22,2019-04-15,Karl,pregame,2,tum,[],525.0,resting,Individual,0.875
23,2019-04-16,Karl,pregame,1,tum,[],24.0,resting,Individual,0.04
24,2019-04-16,Karl,pregame,1,sen,[],91.0,resting,Individual,0.15166666666666667
25,2019-04-16,Karl,pregame,1,tum,[],485.0,resting,Individual,0.8083333333333333
26,2019-04-16,Karl,pregame,2,sen,[],47.0,resting,Individual,0.07730263157894737
27,2019-04-16,Karl,pregame,2,alim,[],31.0,feeding,Individual,0.05098684210526316
28,2019-04-16,Karl,pregame,2,ras,[],7.0,grooming,Individual,0.011513157894736841
29,2019-04-16,Karl,pregame,2,cam,[],4.0,moving,Individual,0.006578947368421052
30,2019-04-16,Karl,pregame,2,tre,[],2.0,moving,Individual,0.003289473684210526
31,2019-04-16,Karl,pregame,2,sen,[],53.0,resting,Individual,0.08717105263157894
32,2019-04-16,Karl,pregame,2,tre,[],5.0,moving,Individual,0.008223684210526315
33,2019-04-16,Karl,pregame,2,cam,[],36.0,moving,Individual,0.05921052631578947
34,2019-04-16,Karl,pregame,2,tre,[],5.0,moving,Individual,0.008223684210526315
35,2019-04-16,Karl,pregame,2,sen,[],102.0,resting,Individual,0.16776315789473684
36,2019-04-16,Karl,pregame,2,cam,[],2.0,moving,Individual,0.003289473684210526
