,date,reg,subject,period,macro_bhv,freq
0,2019-04-15,1,Hadia,pregame,Individual,5
1,2019-04-15,1,Hadia,pregame,Social,5
2,2019-04-15,1,Hadia,pregame,Social-Ludic,1
3,2019-04-15,1,Jawie,pregame,Individual,19
4,2019-04-15,1,Jawie,pregame,Ludic,3
5,2019-04-15,1,Jawie,pregame,Social,12
6,2019-04-15,1,Karl,pregame,Individual,19
7,2019-04-15,1,Locky,pregame,Individual,6
8,2019-04-15,1,Locky,pregame,Social,5
9,2019-04-15,1,Popo,pregame,Individual,1
10,2019-04-15,1,Popo,pregame,Social,2
11,2019-04-15,1,Popo,pregame,Social-Ludic,2
12,2019-04-15,1,Storma,pregame,Ludic,1
13,2019-04-15,1,Storma,pregame,Social,9
14,2019-04-15,2,Hadia,pregame,Individual,11
15,2019-04-15,2,Hadia,pregame,Ludic,5
16,2019-04-15,2,Hadia,pregame,Social,9
17,2019-04-15,2,Jawie,pregame,Individual,15
18,2019-04-15,2,Jawie,pregame,Social,12
19,2019-04-15,2,Karl,pregame,Individual,3
20,2019-04-15,2,Locky,pregame,Individual,18
21,2019-04-15,2,Locky,pregame,Public,2
22,2019-04-15,2,Locky,pregame,Social,7
23,2019-04-15,2,Popo,pregame,Individual,8
24,2019-04-15,2,Popo,pregame,Ludic,2
25,2019-04-15,2,Popo,pregame,Social,6
26,2019-04-15,2,Popo,pregame,Social-Ludic,1
27,2019-04-15,2,Storma,pregame,Individual,34
28,2019-04-15,2,Storma,pregame,Social,5
29,2019-04-15,2,Storma,pregame,Social-Ludic,3
30,2019-04-16,1,Hadia,pregame,Agonistic,2
31,2019-04-16,1,Hadia,pregame,Individual,8
32,2019-04-16,1,Hadia,pregame,Social,9
33,2019-04-16,1,Jawie,pregame,Agonistic,2
34,2019-04-16,1,Jawie,pregame,Individual,3
35,2019-04-16,1,Jawie,pregame,Social,10
36,2019-04-16,1,Karl,pregame,Individual,3
37,2019-04-16,1,Locky,pregame,Individual,10
38,2019-04-16,1,Locky,pregame,Public,1
39,2019-04-16,1,Popo,pregame,Individual,9
40,2019-04-16,1,Popo,pregame,Social,2
41,2019-04-16,1,Storma,pregame,Individual,11
42,2019-04-16,1,Storma,pregame,Social,4
43,2019-04-16,1,Storma,pregame,Social-Ludic,3
44,2019-04-16,2,Hadia,pregame,Individual,7
45,2019-04-16,2,Hadia,pregame,Social,3
46,2019-04-16,2,Jawie,pregame,Individual,1
47,2019-04-16,2,Jawie,pregame,Social,3
48,2019-04-16,2,Karl,pregame,Individual,20
49,2019-04-16,2,Locky,pregame,Social,1
50,2019-04-16,2,Popo,pregame,Individual,17
51,2019-04-16,2,Popo,pregame,Social,8
52,2019-04-16,2,Storma,pregame,Individual,1
53,2019-04-17,1,Hadia,pregame,Social,6
54,2019-04-17,1,Jawie,pregame,Individual,17
55,2019-04-17,1,Jawie,pregame,Social,7
56,2019-04-17,1,Karl,pregame,Individual,3
57,2019-04-17,1,Locky,pregame,Individual,6
58,2019-04-17,1,Locky,pregame,Public,2
59,2019-04-17,1,Locky,pregame,Social,5
60,2019-04-17,1,Popo,pregame,Individual,17
61,2019-04-17,1,Popo,pregame,Ludic,4
62,2019-04-17,1,Popo,pregame,Social,4
63,2019-04-17,1,Popo,pregame,Social-Ludic,1
64,2019-04-17,1,Storma,pregame,Individual,18
65,2019-04-17,1,Storma,pregame,Social-Ludic,6
66,2019-04-17,2,Hadia,pregame,Individual,29
67,2019-04-17,2,Hadia,pregame,Social,4
68,2019-04-17,2,Jawie,pregame,Individual,19
69,2019-04-17,2,Jawie,pregame,Social,5
70,2019-04-17,2,Karl,pregame,Individual,11
71,2019-04-17,2,Locky,pregame,Individual,3
72,2019-04-17,2,Locky,pregame,Social,2
73,2019-04-17,2,Popo,pregame,Individual,11
74,2019-04-17,2,Popo,pregame,Ludic,3
75,2019-04-17,2,Popo,pregame,Public,1
76,2019-04-17,2,Popo,pregame,Social,9
77,2019-04-17,2,Popo,pregame,Social-Ludic,10
78,2019-04-17,2,Storma,pregame,Individual,8
79,2019-04-17,2,Storma,pregame,Social,2
80,2019-04-18,1,Hadia,pregame,Individual,12
81,2019-04-18,1,Hadia,pregame,Ludic,6
82,2019-04-18,1,Hadia,pregame,Public,1
83,2019-04-18,1,Hadia,pregame,Social,4
84,2019-04-18,1,Hadia,pregame,Social-Ludic,1
85,2019-04-18,1,Jawie,pregame,Social,1
86,2019-04-18,1,Karl,pregame,Agonistic,1
87,2019-04-18,1,Karl,pregame,Individual,3
88,2019-04-18,1,Karl,pregame,Social,2
89,2019-04-18,1,Karl,pregame,Social-Ludic,1
90,2019-04-18,1,Locky,pregame,Individual,8
91,2019-04-18,1,Popo,pregame,Individual,4
92,2019-04-18,1,Popo,pregame,Ludic,1
93,2019-04-18,1,Popo,pregame,Social,4
94,2019-04-18,1,Storma,pregame,Individual,8
95,2019-04-18,1,Storma,pregame,Social,9
96,2019-04-18,2,Hadia,pregame,Social-Ludic,1
