,date,subject,period,reg,behavior,receptor,duration,macro_bhv
0,2019-04-15,Karl,pregame,1,cam,[],15.0,moving
1,2019-04-15,Karl,pregame,1,forr,[],34.0,feeding
2,2019-04-15,Karl,pregame,1,sen,[],52.0,resting
3,2019-04-15,Karl,pregame,1,cam,[],5.0,moving
4,2019-04-15,Karl,pregame,1,sen,[],34.0,resting
5,2019-04-15,Karl,pregame,1,cam,[],22.0,moving
6,2019-04-15,Karl,pregame,1,alim,[],34.0,feeding
7,2019-04-15,Karl,pregame,1,ras,[],4.0,grooming
8,2019-04-15,Karl,pregame,1,sen,[],44.0,resting
9,2019-04-15,Karl,pregame,1,hur,[],182.0,grooming
10,2019-04-15,Karl,pregame,1,sen,[],28.0,resting
11,2019-04-15,Karl,pregame,1,cam,[],13.0,moving
12,2019-04-15,Karl,pregame,1,sen,[],32.0,resting
13,2019-04-15,Karl,pregame,1,forr,[],49.0,feeding
14,2019-04-15,Karl,pregame,1,cam,[],6.0,moving
15,2019-04-15,Karl,pregame,1,sen,[],52.0,resting
16,2019-04-15,Karl,pregame,1,cam,[],12.0,moving
17,2019-04-15,Karl,pregame,1,forr,[],9.0,feeding
18,2019-04-15,Karl,pregame,1,cam,[],68.0,moving
19,2019-04-15,Karl,pregame,1,sen,[],95.0,resting
20,2019-04-15,Karl,pregame,2,tum,[],66.0,resting
21,2019-04-15,Karl,pregame,2,alim,[],9.0,feeding
22,2019-04-15,Karl,pregame,2,tum,[],525.0,resting
23,2019-04-16,Karl,pregame,1,tum,[],24.0,resting
24,2019-04-16,Karl,pregame,1,sen,[],91.0,resting
25,2019-04-16,Karl,pregame,1,tum,[],485.0,resting
26,2019-04-16,Karl,pregame,2,sen,[],47.0,resting
27,2019-04-16,Karl,pregame,2,alim,[],31.0,feeding
28,2019-04-16,Karl,pregame,2,ras,[],7.0,grooming
29,2019-04-16,Karl,pregame,2,cam,[],4.0,moving
30,2019-04-16,Karl,pregame,2,tre,[],2.0,moving
31,2019-04-16,Karl,pregame,2,sen,[],53.0,resting
32,2019-04-16,Karl,pregame,2,tre,[],5.0,moving
33,2019-04-16,Karl,pregame,2,cam,[],36.0,moving
34,2019-04-16,Karl,pregame,2,tre,[],5.0,moving
35,2019-04-16,Karl,pregame,2,sen,[],102.0,resting
36,2019-04-16,Karl,pregame,2,cam,[],2.0,moving
37,2019-04-16,Karl,pregame,2,sen,[],24.0,resting
38,2019-04-16,Karl,pregame,2,cam,[],18.0,moving
39,2019-04-16,Karl,pregame,2,sen,[],32.0,resting
40,2019-04-16,Karl,pregame,2,cam,[],12.0,moving
41,2019-04-16,Karl,pregame,2,sen,[],88.0,resting
42,2019-04-16,Karl,pregame,2,cam,[],4.0,moving
43,2019-04-16,Karl,pregame,2,sen,[],45.0,resting
44,2019-04-16,Karl,pregame,2,cam,[],31.0,moving
45,2019-04-16,Karl,pregame,2,sen,[],60.0,resting
46,2019-04-17,Karl,pregame,1,tum,[],80.0,resting
47,2019-04-17,Karl,pregame,1,ras,[],5.0,grooming
48,2019-04-17,Karl,pregame,1,tum,[],520.0,resting
49,2019-04-17,Karl,pregame,2,ras,[],5.0,grooming
50,2019-04-17,Karl,pregame,2,sen,[],60.0,resting
51,2019-04-17,Karl,pregame,2,ras,[],5.0,grooming
52,2019-04-17,Karl,pregame,2,sen,[],56.0,resting
53,2019-04-17,Karl,pregame,2,ras,[],4.0,grooming
54,2019-04-17,Karl,pregame,2,sen,[],23.0,resting
55,2019-04-17,Karl,pregame,2,cam,[],7.0,moving
56,2019-04-17,Karl,pregame,2,sen,[],35.0,resting
57,2019-04-17,Karl,pregame,2,cam,[],39.0,moving
58,2019-04-17,Karl,pregame,2,forr,[],12.0,feeding
59,2019-04-17,Karl,pregame,2,alim,[],230.0,feeding
60,2019-04-18,Karl,pregame,1,jun,['Hadia'],20.0,social
61,2019-04-18,Karl,pregame,1,alogroo,['Hadia'],50.0,social
62,2019-04-18,Karl,pregame,1,lucha,['Hadia'],47.0,social-playing
63,2019-04-18,Karl,pregame,1,con,['Hadia'],5.0,agonistic
64,2019-04-18,Karl,pregame,1,sen,[],23.0,resting
65,2019-04-18,Karl,pregame,1,cam,[],14.0,moving
66,2019-04-18,Karl,pregame,1,tum,[],456.0,resting
67,2019-04-18,Karl,pregame,2,tum,[],103.0,resting
68,2019-04-18,Karl,pregame,2,cam,[],14.0,moving
69,2019-04-18,Karl,pregame,2,sen,[],25.0,resting
70,2019-04-18,Karl,pregame,2,cam,[],5.0,moving
71,2019-04-18,Karl,pregame,2,sen,[],30.0,resting
72,2019-04-18,Karl,pregame,2,cam,[],12.0,moving
73,2019-04-18,Karl,pregame,2,sen,[],10.0,resting
74,2019-04-18,Karl,pregame,2,ras,[],10.0,grooming
75,2019-04-18,Karl,pregame,2,sen,[],16.0,resting
76,2019-04-18,Karl,pregame,2,con,['Hadia'],3.0,agonistic
77,2019-04-18,Karl,pregame,2,sen,[],12.0,resting
78,2019-04-18,Karl,pregame,2,forr,[],8.0,feeding
79,2019-04-18,Karl,pregame,2,cam,[],16.0,moving
80,2019-04-18,Karl,pregame,2,tum,[],76.0,resting
81,2019-04-18,Karl,pregame,2,cam,[],7.0,moving
82,2019-04-18,Karl,pregame,2,sen,[],103.0,resting
83,2019-04-18,Karl,pregame,2,cam,[],15.0,moving
84,2019-04-18,Karl,pregame,2,groo,[],27.0,grooming
85,2019-04-18,Karl,pregame,2,sen,[],64.0,resting
86,2019-04-18,Karl,pregame,2,cam,[],8.0,moving
87,2019-04-18,Karl,pregame,2,tum,[],41.0,resting
88,2019-04-19,Karl,pregame,1,sen,[],265.0,resting
89,2019-04-19,Karl,pregame,1,tum,[],335.0,resting
90,2019-04-19,Karl,pregame,2,sen,[],12.0,resting
91,2019-04-19,Karl,pregame,2,cam,[],14.0,moving
92,2019-04-19,Karl,pregame,2,sen,[],118.0,resting
93,2019-04-19,Karl,pregame,2,ras,[],12.0,grooming
94,2019-04-19,Karl,pregame,2,sen,[],24.0,resting
95,2019-04-19,Karl,pregame,2,marc,['Gibon'],8.0,agonistic
96,2019-04-19,Karl,pregame,2,cam,[],2.0,moving
97,2019-04-19,Karl,pregame,2,sen,[],24.0,resting
98,2019-04-19,Karl,pregame,2,ras,[],2.0,grooming
99,2019-04-19,Karl,pregame,2,sen,[],19.0,resting
100,2019-04-19,Karl,pregame,2,cam,[],3.0,moving
101,2019-04-19,Karl,pregame,2,sen,[],7.0,resting
102,2019-04-19,Karl,pregame,2,cam,[],5.0,moving
103,2019-04-19,Karl,pregame,2,tum,[],56.0,resting
104,2019-04-19,Karl,pregame,2,ras,[],4.0,grooming
105,2019-04-19,Karl,pregame,2,tum,[],102.0,resting
106,2019-04-19,Karl,pregame,2,ras,[],5.0,grooming
107,2019-04-19,Karl,pregame,2,tum,[],29.0,resting
108,2019-04-19,Karl,pregame,2,ras,[],4.0,grooming
109,2019-04-19,Karl,pregame,2,tum,[],51.0,resting
110,2019-04-19,Karl,pregame,2,ras,[],4.0,grooming
111,2019-04-19,Karl,pregame,2,tum,[],95.0,resting
112,2019-04-22,Karl,pregame,1,tum,[],485.0,resting
113,2019-04-22,Karl,pregame,1,cam,[],17.0,moving
114,2019-04-22,Karl,pregame,1,sen,[],78.0,resting
115,2019-04-22,Karl,pregame,1,marc,['Hadia'],10.0,agonistic
116,2019-04-22,Karl,pregame,1,cam,[],10.0,moving
117,2019-04-22,Karl,pregame,2,alim,[],15.0,feeding
118,2019-04-22,Karl,pregame,2,forr,[],15.0,feeding
119,2019-04-22,Karl,pregame,2,alim,[],77.0,feeding
120,2019-04-22,Karl,pregame,2,cam,[],8.0,moving
121,2019-04-22,Karl,pregame,2,forr,[],16.0,feeding
122,2019-04-22,Karl,pregame,2,alim,[],20.0,feeding
123,2019-04-22,Karl,pregame,2,forr,[],16.0,feeding
124,2019-04-22,Karl,pregame,2,sen,[],15.0,resting
125,2019-04-22,Karl,pregame,2,cam,[],11.0,moving
126,2019-04-22,Karl,pregame,2,alim,[],7.0,feeding
127,2019-04-22,Karl,pregame,2,cam,[],11.0,moving
128,2019-04-22,Karl,pregame,2,sen,[],14.0,resting
129,2019-04-22,Karl,pregame,2,cam,[],14.0,moving
130,2019-04-22,Karl,pregame,2,alim,[],22.0,feeding
131,2019-04-22,Karl,pregame,2,solj,['Hadia'],7.0,social
132,2019-04-22,Karl,pregame,2,jun,['Hadia'],37.0,social
133,2019-04-22,Karl,pregame,2,forr,[],22.0,feeding
134,2019-04-22,Karl,pregame,2,alim,[],23.0,feeding
135,2019-04-22,Karl,pregame,2,jun,['Hadia'],20.0,social
136,2019-04-22,Karl,pregame,2,sen,[],39.0,resting
137,2019-04-22,Karl,pregame,2,forr,[],11.0,feeding
138,2019-04-22,Karl,pregame,2,sen,[],45.0,resting
139,2019-04-22,Karl,pregame,2,ras,[],8.0,grooming
140,2019-04-22,Karl,pregame,2,sen,[],20.0,resting
141,2019-04-22,Karl,pregame,2,con,['Hadia'],5.0,agonistic
142,2019-04-22,Karl,pregame,2,sen,[],20.0,resting
143,2019-04-22,Karl,pregame,2,alim,[],12.0,feeding
144,2019-04-22,Karl,pregame,2,sen,[],11.0,resting
145,2019-04-22,Karl,pregame,2,ras,[],6.0,grooming
146,2019-04-22,Karl,pregame,2,sen,[],15.0,resting
147,2019-04-22,Karl,pregame,2,forr,[],12.0,feeding
148,2019-04-22,Karl,pregame,2,alim,[],17.0,feeding
149,2019-04-22,Karl,pregame,2,forr,[],9.0,feeding
150,2019-04-23,Karl,pregame,1,tum,[],12.0,resting
151,2019-04-23,Karl,pregame,1,ras,[],2.0,grooming
152,2019-04-23,Karl,pregame,1,tum,[],586.0,resting
153,2019-04-23,Karl,pregame,2,tum,[],600.0,resting
154,2019-04-24,Karl,pregame,1,forr,[],45.0,feeding
155,2019-04-24,Karl,pregame,1,forr,[],80.0,feeding
156,2019-04-24,Karl,pregame,1,alim,[],12.0,feeding
157,2019-04-24,Karl,pregame,1,forr,[],112.0,feeding
158,2019-04-24,Karl,pregame,1,cam,[],6.0,moving
159,2019-04-24,Karl,pregame,1,sen,[],50.0,resting
160,2019-04-24,Karl,pregame,1,forr,[],5.0,feeding
161,2019-04-24,Karl,pregame,1,sen,[],73.0,resting
162,2019-04-24,Karl,pregame,1,cam,[],10.0,moving
163,2019-04-24,Karl,pregame,1,sen,[],56.0,resting
164,2019-04-24,Karl,pregame,1,cam,[],11.0,moving
165,2019-04-24,Karl,pregame,1,forr,[],19.0,feeding
166,2019-04-24,Karl,pregame,1,sen,[],55.0,resting
167,2019-04-24,Karl,pregame,1,groo,[],16.0,grooming
168,2019-04-24,Karl,pregame,1,forr,[],5.0,feeding
169,2019-04-24,Karl,pregame,1,cam,[],13.0,moving
170,2019-04-24,Karl,pregame,1,sen,[],19.0,resting
171,2019-04-25,Karl,pregame,2,sen,[],147.0,resting
172,2019-04-25,Karl,pregame,2,cam,[],25.0,moving
173,2019-04-25,Karl,pregame,2,forr,[],428.0,feeding
174,2019-04-26,Karl,pregame,1,sen,[],39.0,resting
175,2019-04-26,Karl,pregame,1,groo,[],41.0,grooming
176,2019-04-26,Karl,pregame,1,sen,[],28.0,resting
177,2019-04-26,Karl,pregame,1,ras,[],5.0,grooming
178,2019-04-26,Karl,pregame,1,sen,[],87.0,resting
179,2019-04-26,Karl,pregame,1,ras,[],5.0,grooming
180,2019-04-26,Karl,pregame,1,sen,[],405.0,resting
181,2019-04-26,Karl,pregame,2,tum,[],60.0,resting
182,2019-04-26,Karl,pregame,2,cam,[],3.0,moving
183,2019-04-26,Karl,pregame,2,sen,[],34.0,resting
184,2019-04-26,Karl,pregame,2,cam,[],3.0,moving
185,2019-04-26,Karl,pregame,2,sen,[],50.0,resting
186,2019-04-26,Karl,pregame,2,cam,[],26.0,moving
187,2019-04-26,Karl,pregame,2,sen,[],10.0,resting
188,2019-04-26,Karl,pregame,2,cam,[],49.0,moving
189,2019-04-26,Karl,pregame,2,sen,[],365.0,resting
190,2019-04-29,Karl,pregame,1,tum,[],2.0,resting
191,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming
192,2019-04-29,Karl,pregame,1,tum,[],53.0,resting
193,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming
194,2019-04-29,Karl,pregame,1,tum,[],234.0,resting
195,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming
196,2019-04-29,Karl,pregame,1,tum,[],163.0,resting
197,2019-04-29,Karl,pregame,1,con,['Gibon'],23.0,agonistic
198,2019-04-29,Karl,pregame,1,sen,[],35.0,resting
199,2019-04-29,Karl,pregame,1,tum,[],55.0,resting
200,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming
201,2019-04-29,Karl,pregame,1,tum,[],35.0,resting
202,2019-04-29,Karl,pregame,2,tum,[],380.0,resting
203,2019-04-29,Karl,pregame,2,sen,[],2.0,resting
204,2019-04-29,Karl,pregame,2,ras,[],4.0,grooming
205,2019-04-29,Karl,pregame,2,sen,[],66.0,resting
206,2019-04-29,Karl,pregame,2,con,['Gibon'],8.0,agonistic
207,2019-04-29,Karl,pregame,2,sen,[],134.0,resting
208,2019-04-29,Karl,pregame,2,ras,[],4.0,grooming
209,2019-04-29,Karl,pregame,2,sen,[],2.0,resting
210,2019-04-30,Karl,pregame,1,tum,[],493.0,resting
211,2019-04-30,Karl,pregame,1,cam,[],14.0,moving
212,2019-04-30,Karl,pregame,1,sen,[],7.0,resting
213,2019-04-30,Karl,pregame,1,cam,[],2.0,moving
214,2019-04-30,Karl,pregame,1,sen,[],43.0,resting
215,2019-04-30,Karl,pregame,1,cam,[],7.0,moving
216,2019-04-30,Karl,pregame,1,cuad,[],33.0,
217,2019-04-30,Karl,pregame,2,tum,[],13.0,resting
218,2019-04-30,Karl,pregame,2,ras,[],3.0,grooming
219,2019-04-30,Karl,pregame,2,tum,[],55.0,resting
220,2019-04-30,Karl,pregame,2,ras,[],5.0,grooming
221,2019-04-30,Karl,pregame,2,tum,[],24.0,resting
222,2019-04-30,Karl,pregame,2,cam,[],10.0,moving
223,2019-04-30,Karl,pregame,2,sen,[],19.0,resting
224,2019-04-30,Karl,pregame,2,cam,[],8.0,moving
225,2019-04-30,Karl,pregame,2,sen,[],69.0,resting
226,2019-04-30,Karl,pregame,2,cam,[],45.0,moving
227,2019-04-30,Karl,pregame,2,forr,[],230.0,feeding
228,2019-04-30,Karl,pregame,2,alim,[],124.0,feeding
229,2019-05-01,Karl,pregame,1,tum,[],281.0,resting
230,2019-05-01,Karl,pregame,1,ras,[],5.0,grooming
231,2019-05-01,Karl,pregame,1,tum,[],90.0,resting
232,2019-05-01,Karl,pregame,1,ras,[],3.0,grooming
233,2019-05-01,Karl,pregame,1,tum,[],66.0,resting
234,2019-05-01,Karl,pregame,1,ras,[],5.0,grooming
235,2019-05-01,Karl,pregame,1,tum,[],61.0,resting
236,2019-05-01,Karl,pregame,1,ras,[],10.0,grooming
237,2019-05-01,Karl,pregame,1,tum,[],59.0,resting
238,2019-05-01,Karl,pregame,1,ras,[],5.0,grooming
239,2019-05-01,Karl,pregame,1,tum,[],32.0,resting
240,2019-05-01,Karl,pregame,2,tum,[],306.0,resting
241,2019-05-01,Karl,pregame,2,cam,[],4.0,moving
242,2019-05-01,Karl,pregame,2,sen,[],51.0,resting
243,2019-05-01,Karl,pregame,2,cam,[],6.0,moving
244,2019-05-01,Karl,pregame,2,tum,[],233.0,resting
245,2019-05-03,Karl,pregame,1,sen,[],212.0,resting
246,2019-05-03,Karl,pregame,1,pub,[],4.0,interacting with public
247,2019-05-03,Karl,pregame,1,sen,[],384.0,resting
248,2019-05-03,Karl,pregame,2,tum,[],557.0,resting
249,2019-05-03,Karl,pregame,2,sen,[],43.0,resting
250,2019-05-06,Karl,pregame,1,tum,[],111.0,resting
251,2019-05-06,Karl,pregame,1,cam,[],67.0,moving
252,2019-05-06,Karl,pregame,1,sen,[],40.0,resting
253,2019-05-06,Karl,pregame,1,cam,[],9.0,moving
254,2019-05-06,Karl,pregame,1,alim,[],41.0,feeding
255,2019-05-06,Karl,pregame,1,cam,[],11.0,moving
256,2019-05-06,Karl,pregame,1,forr,[],6.0,feeding
257,2019-05-06,Karl,pregame,1,cam,[],19.0,moving
258,2019-05-06,Karl,pregame,1,alim,[],33.0,feeding
259,2019-05-06,Karl,pregame,1,cam,[],26.0,moving
260,2019-05-06,Karl,pregame,1,tum,[],60.0,resting
261,2019-05-06,Karl,pregame,1,sen,[],177.0,resting
262,2019-05-06,Karl,pregame,2,sen,[],35.0,resting
263,2019-05-06,Karl,pregame,2,cam,[],10.0,moving
264,2019-05-06,Karl,pregame,2,alim,[],22.0,feeding
265,2019-05-06,Karl,pregame,2,marc,['Gibon'],5.0,agonistic
266,2019-05-06,Karl,pregame,2,alim,[],30.0,feeding
267,2019-05-06,Karl,pregame,2,cam,[],15.0,moving
268,2019-05-06,Karl,pregame,2,alim,[],103.0,feeding
269,2019-05-06,Karl,pregame,2,corr,[],4.0,moving
270,2019-05-06,Karl,pregame,2,alim,[],86.0,feeding
271,2019-05-06,Karl,pregame,2,con,['Hadia'],4.0,agonistic
272,2019-05-06,Karl,pregame,2,alim,[],7.0,feeding
273,2019-05-06,Karl,pregame,2,cam,[],51.0,moving
274,2019-05-06,Karl,pregame,2,alim,[],69.0,feeding
275,2019-05-06,Karl,pregame,2,cam,[],7.0,moving
276,2019-05-06,Karl,pregame,2,alim,[],120.0,feeding
277,2019-05-06,Karl,pregame,2,cam,[],5.0,moving
278,2019-05-06,Karl,pregame,2,alim,[],33.0,feeding
279,2019-05-07,Karl,pregame,1,tum,[],600.0,resting
280,2019-05-07,Karl,pregame,2,sen,[],52.0,resting
281,2019-05-07,Karl,pregame,2,groo,[],8.0,grooming
282,2019-05-07,Karl,pregame,2,sen,[],89.0,resting
283,2019-05-07,Karl,pregame,2,con,['Gibon'],24.0,agonistic
284,2019-05-07,Karl,pregame,2,sen,[],19.0,resting
285,2019-05-07,Karl,pregame,2,cam,[],9.0,moving
286,2019-05-07,Karl,pregame,2,tum,[],399.0,resting
287,2019-05-20,Karl,game,1,tum,[],75.0,resting
288,2019-05-20,Karl,game,1,ras,[],8.0,grooming
289,2019-05-20,Karl,game,1,tum,[],68.0,resting
290,2019-05-20,Karl,game,1,sen,[],27.0,resting
291,2019-05-20,Karl,game,1,alim,[],27.0,feeding
292,2019-05-20,Karl,game,1,sen,[],23.0,resting
293,2019-05-20,Karl,game,1,tum,[],61.0,resting
294,2019-05-20,Karl,game,1,sen,[],3.0,resting
295,2019-05-20,Karl,game,1,tum,[],90.0,resting
296,2019-05-20,Karl,game,1,hur,[],3.0,grooming
297,2019-05-20,Karl,game,1,tum,[],20.0,resting
298,2019-05-20,Karl,game,1,ras,[],2.0,grooming
299,2019-05-20,Karl,game,1,tum,[],16.0,resting
300,2019-05-20,Karl,game,1,ras,[],4.0,grooming
301,2019-05-20,Karl,game,1,sen,[],113.0,resting
302,2019-05-20,Karl,game,2,sen,[],110.0,resting
303,2019-05-20,Karl,game,2,ras,[],3.0,grooming
304,2019-05-20,Karl,game,2,sen,[],34.0,resting
305,2019-05-20,Karl,game,2,tum,[],42.0,resting
306,2019-05-20,Karl,game,2,ras,[],3.0,grooming
307,2019-05-20,Karl,game,2,tum,[],117.0,resting
308,2019-05-20,Karl,game,2,ras,[],3.0,grooming
309,2019-05-20,Karl,game,2,tum,[],62.0,resting
310,2019-05-20,Karl,game,2,sen,[],226.0,resting
311,2019-05-22,Karl,game,1,tum,[],3.0,resting
